Code,Year,GDP Per Capita,,
,1970,8330.067,,
ECU,1970,4535,,
EGY,1970,1999,,
SLV,1970,3488,,
GNQ,1970,1934,,
SWZ,1970,1704,,
ETH,1970,948,,
FIN,1970,15266,,
,1970,1415,,
FRA,1970,18187,,
GAB,1970,5587,,
GMB,1970,1422,,
DEU,1970,17277,,
GHA,1970,2270,,
GRC,1970,9900,,
GTM,1970,4653,,
GIN,1970,795,,
GNB,1970,1395,,
HTI,1970,1567,,
HND,1970,2391,,
HKG,1970,9250,,
HUN,1970,8015,,
ISL,1970,14830,,
IND,1970,1384,,
IDN,1970,1882,,
IRN,1970,6677,,
IRQ,1970,5536,,
IRL,1970,9881,,
ISR,1970,12913,,
ITA,1970,15492,,
JAM,1970,6135,,
JPN,1970,15484,,
JOR,1970,3818,,
KEN,1970,1458,,
KWT,1970,48927,,
LAO,1970,850,,
,1970,6193.1772,,
LBN,1970,7084,,
LSO,1970,1073,,
LBR,1970,4457,,
LBY,1970,6591,,
LUX,1970,20763,,
MDG,1970,1954,,
MWI,1970,713,,
MYS,1970,3314,,
MLI,1970,934,,
MLT,1970,3889,,
MRT,1970,1548,,
MUS,1970,4662,,
MEX,1970,6873,,
,1970,4790.016,,
MNG,1970,1226,,
MNE,1970,4857,,
MAR,1970,2576,,
MOZ,1970,2778,,
MMR,1970,1023,,
NAM,1970,6164,,
NPL,1970,1055,,
NLD,1970,19075,,
NZL,1970,17835,,
NIC,1970,4463,,
NER,1970,1337,,
NGA,1970,1744,,
MKD,1970,6545,,
NOR,1970,15983,,
OMN,1970,6056,,
PAK,1970,1517,,
PSE,1970,3008,,
PAN,1970,5131,,
PRY,1970,2825,,
PER,1970,6143,,
PHL,1970,2812,,
POL,1970,7058,,
PRT,1970,8724,,
PRI,1970,10117,,
QAT,1970,51921,,
ROU,1970,4547.4023,,
RUS,1970,9234,,
RWA,1970,1337,,
LCA,1970,2203,,
STP,1970,2243,,
SAU,1970,12153,,
SEN,1970,2287,,
SRB,1970,6515,,
SYC,1970,3537,,
SLE,1970,1553,,
SGP,1970,6650,,
SVN,1970,12803,,
ZAF,1970,6448,,
KOR,1970,2974.8074,,
,1970,1545.8779,,
ESP,1970,9502.939,,
LKA,1970,2389,,
,1970,1968.3627,,
SWE,1970,20269,,
CHE,1970,23478.992,,
SYR,1970,5643,,
TWN,1970,4044,,
TZA,1970,905,,
THA,1970,2700,,
TGO,1970,1631,,
TTO,1970,13141,,
TUN,1970,2912,,
TUR,1970,4398,,
OWID_USS,1970,8886,,
UGA,1970,1382,,
ARE,1970,39135,,
GBR,1970,17162,,
USA,1970,23958,,
URY,1970,8030,,
VEN,1970,15289,,
VNM,1970,1172,,
,1970,16096.743,"United States, Canada, Australia and New Zealand",
,1970,23209.65,,
OWID_WRL,1970,5970.6577,,
YEM,1970,1961,,
OWID_YGS,1970,6288,,
ZMB,1970,1710,,
ZWE,1970,2043,,
AFG,1971,1237,,
ALB,1971,3322,,
DZA,1971,3188,,
AGO,1971,2754,,
ARG,1971,12003,,
AUS,1971,19590,,
AUT,1971,16259,,
BHR,1971,6349,,
BGD,1971,934,,
BRB,1971,10514,,
BEL,1971,17486,,
BEN,1971,1535,,
BOL,1971,3513,,
BIH,1971,4490,,
BWA,1971,1113,,
BRA,1971,5024,,
BGR,1971,7814,,
BFA,1971,1219,,
BDI,1971,902,,
KHM,1971,980,,
CMR,1971,1578,,
CAN,1971,20024,,
CPV,1971,1435,,
CAF,1971,1427,,
TCD,1971,877,,
CHL,1971,8773,,
CHN,1971,1446,,
COL,1971,5091,,
COM,1971,974,,
COG,1971,2546,,
CRI,1971,6199,,
CIV,1971,2874,,
HRV,1971,9414,,
CUB,1971,3161,,
CYP,1971,7382,,
CZE,1971,9177,,
OWID_CZS,1971,10613,,
COD,1971,1267,,
DNK,1971,20617,,
DJI,1971,4846,,
DMA,1971,1578,,
DOM,1971,2678,,
ECU,1971,4658,,
EGY,1971,2045,,
SLV,1971,3553,,
GNQ,1971,1989,,
SWZ,1971,1722,,
ETH,1971,968,,
FIN,1971,15565,,
,1971,1471,,
FRA,1971,18881,,
GAB,1971,6027,,
GMB,1971,1376,,
DEU,1971,17657,,
GHA,1971,2377,,
GRC,1971,10559,,
GTM,1971,4801,,
GIN,1971,822,,
GNB,1971,1333,,
HTI,1971,1651,,
HND,1971,2404,,
HKG,1971,9787,,
HUN,1971,8349,,
ISL,1971,16606,,
IND,1971,1364,,
IDN,1971,1946,,
IRN,1971,7296,,
IRQ,1971,5686,,
IRL,1971,10128,,
ISR,1971,13885,,
ITA,1971,15683,,
JAM,1971,6062,,
JPN,1971,16004,,
JOR,1971,3771,,
KEN,1971,1500,,
KWT,1971,49302,,
LAO,1971,875,,
LBN,1971,7533,,
LSO,1971,952,,
LBR,1971,4544,,
LBY,1971,6008,,
LUX,1971,21117,,
MDG,1971,1986,,
MWI,1971,794,,
MYS,1971,3475,,
MLI,1971,945,,
MLT,1971,3987,,
MRT,1971,1533,,
MUS,1971,4804,,
MEX,1971,6912,,
MNG,1971,1246,,
MNE,1971,4994,,
MAR,1971,2654,,
MOZ,1971,2895,,
MMR,1971,1036,,
NAM,1971,6258,,
NPL,1971,1022,,
NLD,1971,19636,,
NZL,1971,18452,,
NIC,1971,4533,,
NER,1971,1382,,
NGA,1971,1894,,
MKD,1971,6884,,
NOR,1971,16692,,
OMN,1971,5923,,
PAK,1971,1484,,
PSE,1971,3338,,
PAN,1971,5471,,
PRY,1971,2906,,
PER,1971,6242,,
PHL,1971,2882,,
POL,1971,7503,,
PRT,1971,9358,,
PRI,1971,10587,,
QAT,1971,59731,,
ROU,1971,5134.1865,,
RUS,1971,9567,,
RWA,1971,1315,,
LCA,1971,2265,,
STP,1971,2326,,
SAU,1971,13509,,
SEN,1971,2216,,
SRB,1971,7084,,
SYC,1971,3987,,
SLE,1971,1535,,
SGP,1971,7318,,
SVN,1971,13657,,
ZAF,1971,6591,,
KOR,1971,3221.6746,,
ESP,1971,9885.877,,
LKA,1971,2322,,
SWE,1971,20320,,
CHE,1971,24486.979,,
SYR,1971,5992,,
TWN,1971,4470,,
TZA,1971,915,,
THA,1971,2750,,
TGO,1971,1699,,
TTO,1971,13185,,
TUN,1971,3159,,
TUR,1971,4715,,
OWID_USS,1971,9033,,
UGA,1971,1385,,
ARE,1971,39540,,
GBR,1971,17440,,
USA,1971,24394,,
URY,1971,7933,,
VEN,1971,15192,,
VNM,1971,1202,,
YEM,1971,2254,,
OWID_YGS,1971,6730,,
ZMB,1971,1661,,
ZWE,1971,2157,,
AFG,1972,1007,,
ALB,1972,3451,,
DZA,1972,3746,,
AGO,1972,2729,,
ARG,1972,12170,,
AUS,1972,19772,,
AUT,1972,17169,,
BHR,1972,6692,,
BGD,1972,807,,
BRB,1972,10567,,
BEL,1972,18336,,
BEN,1972,1640,,
BOL,1972,3602,,
BIH,1972,4661,,
BWA,1972,1361,,
BRA,1972,5480,,
BGR,1972,8145,,
BFA,1972,1253,,
BDI,1972,866,,
KHM,1972,920,,
CMR,1972,1612,,
CAN,1972,20837,,
CPV,1972,1457,,
CAF,1972,1368,,
TCD,1972,800,,
CHL,1972,8520,,
CHN,1972,1431,,
COL,1972,5348,,
COM,1972,966,,
COG,1972,2582,,
CRI,1972,6564,,
CIV,1972,2887,,
HRV,1972,9631,,
CUB,1972,3253,,
CYP,1972,7809,,
CZE,1972,9626,,
OWID_CZS,1972,10932,,
COD,1972,1235,,
DNK,1972,21579,,
DJI,1972,4787,,
DMA,1972,1674,,
DOM,1972,2928,,
ECU,1972,4801,,
EGY,1972,2047,,
SLV,1972,3668,,
GNQ,1972,2007,,
SWZ,1972,1889,,
ETH,1972,995,,
FIN,1972,16654,,
,1972,1400,,
FRA,1972,19549,,
GAB,1972,6559,,
GMB,1972,1334,,
DEU,1972,18301,,
GHA,1972,2235,,
GRC,1972,11795,,
GTM,1972,5037,,
GIN,1972,826,,
GNB,1972,1412,,
HTI,1972,1635,,
HND,1972,2448,,
HKG,1972,10632,,
HUN,1972,8505,,
ISL,1972,17366,,
IND,1972,1329,,
IDN,1972,2117,,
IRN,1972,8247,,
IRQ,1972,5297,,
IRL,1972,10621,,
ISR,1972,15108,,
ITA,1972,16035,,
JAM,1972,6150,,
JPN,1972,17110,,
JOR,1972,3754,,
KEN,1972,1524,,
KWT,1972,48283,,
LAO,1972,886,,
LBN,1972,8228,,
LSO,1972,1108,,
LBR,1972,4568,,
LBY,1972,6237,,
LUX,1972,22236,,
MDG,1972,1916,,
MWI,1972,851,,
MYS,1972,3649,,
MLI,1972,971,,
MLT,1972,4299,,
MRT,1972,1511,,
MUS,1972,5128,,
MEX,1972,7256,,
MNG,1972,1256,,
MNE,1972,5206,,
MAR,1972,2660,,
MOZ,1972,2906,,
MMR,1972,1023,,
NAM,1972,6156,,
NPL,1972,1034,,
NLD,1972,20079,,
NZL,1972,18889,,
NIC,1972,4543,,
NER,1972,1282,,
NGA,1972,1908,,
MKD,1972,7127,,
NOR,1972,17409,,
OMN,1972,6271,,
PAK,1972,1455,,
PSE,1972,3797,,
PAN,1972,5571,,
PRY,1972,3017,,
PER,1972,6264,,
PHL,1972,2954,,
POL,1972,7986,,
PRT,1972,10130,,
PRI,1972,11046,,
QAT,1972,62416,,
ROU,1972,5413.418,,
RUS,1972,9785,,
RWA,1972,1282,,
LCA,1972,2279,,
STP,1972,2324,,
SAU,1972,15138,,
SEN,1972,2289,,
SRB,1972,7347,,
SYC,1972,4149,,
SLE,1972,1525,,
SGP,1972,8155,,
SVN,1972,14269,,
ZAF,1972,6550,,
KOR,1972,3387.8906,,
ESP,1972,10787.692,,
LKA,1972,2327,,
SWE,1972,20725,,
CHE,1972,25356.91,,
SYR,1972,7243,,
TWN,1972,4962,,
TZA,1972,945,,
THA,1972,2786,,
TGO,1972,1709,,
TTO,1972,13753,,
TUN,1972,3645,,
TUR,1972,4929,,
OWID_USS,1972,8995,,
UGA,1972,1364,,
ARE,1972,39540,,
GBR,1972,18002,,
USA,1972,25414,,
URY,1972,7643,,
VEN,1972,15135,,
VNM,1972,1278,,
YEM,1972,2383,,
OWID_YGS,1972,6948,,
ZMB,1972,1761,,
ZWE,1972,2268,,
AFG,1973,1011,,
ALB,1973,3623,,
DZA,1973,3757,,
AGO,1973,2852,,
ARG,1973,12691,,
ARM,1973,9806,,
AUS,1973,20527,,
AUT,1973,17908,,
AZE,1973,7068,,
BHR,1973,6975,,
BGD,1973,792,,
BRB,1973,10635,,
BLR,1973,8341,,
BEL,1973,19399,,
BEN,1973,1666,,
BOL,1973,3757,,
BIH,1973,4801,,
BWA,1973,1589,,
BRA,1973,6086,,
BGR,1973,8423,,
BFA,1973,1172,,
BDI,1973,921,,
KHM,1973,1239,,
CMR,1973,1599,,
CAN,1973,22058,,
CPV,1973,1470,,
CAF,1973,1403,,
TCD,1973,746,,
CHL,1973,7911,,
CHN,1973,1513,,
COL,1973,5577,,
COM,1973,1006,,
COG,1973,2950,,
CRI,1973,6884,,
CIV,1973,2974,,
HRV,1973,9969,,
CUB,1973,3486,,
CYP,1973,7913,,
CZE,1973,10026,,
OWID_CZS,1973,11223,,
COD,1973,1305,,
DNK,1973,22228,,
DJI,1973,4801,,
DMA,1973,1793,,
DOM,1973,3196,,
ECU,1973,5244,,
EGY,1973,2063,,
SLV,1973,3767,,
GNQ,1973,2204,,
EST,1973,13799,,
SWZ,1973,1902,,
ETH,1973,1004,,
FIN,1973,17669,,
,1973,1243,,
FRA,1973,20441,,
GAB,1973,6935,,
GMB,1973,1411,,
GEO,1973,9456,,
DEU,1973,19074,,
GHA,1973,2227,,
GRC,1973,12202,,
GTM,1973,5255,,
GIN,1973,821,,
GNB,1973,1411,,
HTI,1973,1678,,
HND,1973,2544,,
HKG,1973,11717,,
HUN,1973,8920,,
ISL,1973,18277,,
IND,1973,1360,,
IDN,1973,2375,,
IRN,1973,8706,,
IRQ,1973,5982,,
IRL,1973,10946,,
ISR,1973,15374,,
ITA,1973,16950,,
JAM,1973,6583,,
JPN,1973,18226,,
JOR,1973,3806,,
KAZ,1973,12154,,
KEN,1973,1546,,
KWT,1973,42542,,
KGZ,1973,5941,,
LAO,1973,944,,
LVA,1973,12506,,
LBN,1973,8397,,
LSO,1973,1364,,
LBR,1973,4603,,
LBY,1973,6005,,
LTU,1973,12103,,
LUX,1973,23820,,
MDG,1973,1824,,
MWI,1973,896,,
MYS,1973,4081,,
MLI,1973,926,,
MLT,1973,4442,,
MRT,1973,1473,,
MUS,1973,5668,,
MEX,1973,7597,,
MDA,1973,8552,,
MNG,1973,1328,,
MNE,1973,5137,,
MAR,1973,2700,,
MOZ,1973,2986,,
MMR,1973,1001,,
NAM,1973,6177,,
NPL,1973,1009,,
NLD,1973,20851,,
NZL,1973,19804,,
NIC,1973,4637,,
NER,1973,1039,,
NGA,1973,2012,,
MKD,1973,7471,,
NOR,1973,18050,,
OMN,1973,5227,,
PAK,1973,1521,,
PSE,1973,3537,,
PAN,1973,5719,,
PRY,1973,3150,,
PER,1973,6413,,
PHL,1973,3131,,
POL,1973,8512,,
PRT,1973,11258,,
PRI,1973,11639,,
QAT,1973,68407,,
ROU,1973,5541.7134,,
RUS,1973,10492,,
RWA,1973,1288,,
LCA,1973,2268,,
STP,1973,2313,,
SAU,1973,17598,,
SEN,1973,2096,,
SRB,1973,7716,,
SYC,1973,4468,,
SLE,1973,1553,,
SGP,1973,8894,,
SVN,1973,15079,,
ZAF,1973,6655,,
KOR,1973,3822.046,,
ESP,1973,11629.702,,
LKA,1973,2378,,
SWE,1973,21509,,
CHE,1973,26003.715,,
SYR,1973,6403,,
TWN,1973,5496,,
TJK,1973,6527,,
TZA,1973,945,,
THA,1973,2987,,
TGO,1973,1591,,
TTO,1973,13844,,
TUN,1973,3540,,
TUR,1973,5050,,
TKM,1973,7693,,
OWID_USS,1973,9658,,
UGA,1973,1331,,
UKR,1973,7849,,
ARE,1973,39669,,
GBR,1973,19168,,
USA,1973,26602,,
URY,1973,7885,,
UZB,1973,8125,,
VEN,1973,15540,,
VNM,1973,1333,,
YEM,1973,2614,,
OWID_YGS,1973,7226,,
ZMB,1973,1693,,
ZWE,1973,2283,,
AFG,1974,1039,,
ALB,1974,3637,,
DZA,1974,3870,,
AGO,1974,2727,,
ARG,1974,13284,,
AUS,1974,20698,,
AUT,1974,18583,,
BHR,1974,7291,,
BGD,1974,872,,
BRB,1974,10080,,
BEL,1974,20153,,
BEN,1974,1733,,
BOL,1974,3854,,
BIH,1974,5112,,
BWA,1974,1656,,
BRA,1974,6416,,
BGR,1974,8630,,
BFA,1974,1132,,
BDI,1974,904,,
KHM,1974,1049,,
CMR,1974,1632,,
CAN,1974,22643,,
CPV,1974,1497,,
CAF,1974,1333,,
TCD,1974,829,,
CHL,1974,7857,,
CHN,1974,1519,,
COL,1974,5767,,
COM,1974,1004,,
COG,1974,2848,,
CRI,1974,7061,,
CIV,1974,2931,,
HRV,1974,10786,,
CUB,1974,3609,,
CYP,1974,6503,,
CZE,1974,10444,,
OWID_CZS,1974,11545,,
COD,1974,1312,,
DNK,1974,21919,,
DJI,1974,4414,,
DMA,1974,1894,,
DOM,1974,3295,,
ECU,1974,5392,,
EGY,1974,2099,,
SLV,1974,3912,,
GNQ,1974,2466,,
SWZ,1974,2204,,
ETH,1974,993,,
FIN,1974,18109,,
,1974,1328,,
FRA,1974,20902,,
GAB,1974,9083,,
GMB,1974,1452,,
DEU,1974,19228,,
GHA,1974,2319,,
GRC,1974,11716,,
GTM,1974,5461,,
GIN,1974,848,,
GNB,1974,1458,,
HTI,1974,1742,,
HND,1974,2797,,
HKG,1974,11719,,
HUN,1974,9111,,
ISL,1974,19054,,
IND,1974,1344,,
IDN,1974,2439,,
IRN,1974,9210,,
IRQ,1974,6097,,
IRL,1974,11225,,
ISR,1974,15980,,
ITA,1974,17607,,
JAM,1974,6229,,
JPN,1974,17765,,
JOR,1974,3995,,
KEN,1974,1564,,
KWT,1974,34962,,
LAO,1974,958,,
LBN,1974,8383,,
LSO,1974,1414,,
LBR,1974,4616,,
LBY,1974,6923,,
LUX,1974,24503,,
MDG,1974,1816,,
MWI,1974,928,,
MYS,1974,4285,,
MLI,1974,883,,
MLT,1974,4863,,
MRT,1974,1570,,
MUS,1974,6038,,
MEX,1974,7801,,
MNG,1974,1342,,
MNE,1974,5394,,
MAR,1974,2791,,
MOZ,1974,2684,,
MMR,1974,1033,,
NAM,1974,6387,,
NPL,1974,1052,,
NLD,1974,21514,,
NZL,1974,20529,,
NIC,1974,5064,,
NER,1974,1105,,
NGA,1974,2179,,
MKD,1974,7803,,
NOR,1974,18691,,
OMN,1974,5644,,
PAK,1974,1533,,
PSE,1974,4159,,
PAN,1974,5695,,
PRY,1974,3319,,
PER,1974,6566,,
PHL,1974,3154,,
POL,1974,8928,,
PRT,1974,11234,,
PRI,1974,11552,,
QAT,1974,57594,,
ROU,1974,5796.996,,
RUS,1974,10801,,
RWA,1974,1262,,
LCA,1974,2356,,
STP,1974,2399,,
SAU,1974,19659,,
SEN,1974,2118,,
SRB,1974,8322,,
SYC,1974,4457,,
SLE,1974,1581,,
SGP,1974,9314,,
SVN,1974,16420,,
ZAF,1974,6853,,
KOR,1974,4112.6016,,
ESP,1974,12379.95,,
LKA,1974,2418,,
SWE,1974,22132,,
CHE,1974,25718.27,,
SYR,1974,7685,,
TWN,1974,5455,,
TZA,1974,937,,
THA,1974,3045,,
TGO,1974,1612,,
TTO,1974,14430,,
TUN,1974,3735,,
TUR,1974,5353,,
OWID_USS,1974,9844,,
UGA,1974,1302,,
ARE,1974,45347,,
GBR,1974,18903,,
USA,1974,26286,,
URY,1974,8176,,
VEN,1974,15943,,
VNM,1974,1248,,
YEM,1974,2703,,
OWID_YGS,1974,7767,,
ZMB,1974,1776,,
ZWE,1974,2275,,
AFG,1975,1074,,
ALB,1975,3649,,
DZA,1975,4020,,
AGO,1975,1710,,
ARG,1975,12946,,
AUS,1975,20993,,
AUT,1975,18564,,
BHR,1975,6252,,
BGD,1975,843,,
BRB,1975,9825,,
BEL,1975,19831,,
BEN,1975,1570,,
BOL,1975,4010,,
BIH,1975,5247,,
BWA,1975,1712,,
BRA,1975,6582,,
BGR,1975,9295,,
BFA,1975,1068,,
BDI,1975,883,,
KHM,1975,925,,
CMR,1975,1677,,
CAN,1975,22819,,
CPV,1975,1237,,
CAF,1975,1323,,
TCD,1975,952,,
CHL,1975,6731,,
CHN,1975,1594,,
COL,1975,5772,,
COM,1975,1038,,
COG,1975,2745,,
CRI,1975,7007,,
CIV,1975,2812,,
HRV,1975,11053,,
CUB,1975,3733,,
CYP,1975,5528,,
CZE,1975,10954,,
OWID_CZS,1975,11794,,
COD,1975,1213,,
DNK,1975,21712,,
DJI,1975,4691,,
DMA,1975,1940,,
DOM,1975,3365,,
ECU,1975,5514,,
EGY,1975,2265,,
SLV,1975,4030,,
GNQ,1975,3080,,
SWZ,1975,2856,,
ETH,1975,972,,
FIN,1975,18237,,
,1975,1451,,
FRA,1975,20653,,
GAB,1975,9985,,
GMB,1975,1497,,
DEU,1975,19193,,
GHA,1975,1988,,
GRC,1975,12309,,
GTM,1975,5439,,
GIN,1975,854,,
GNB,1975,1479,,
HTI,1975,1726,,
HND,1975,2764,,
HKG,1975,11456,,
HUN,1975,9253,,
ISL,1975,18935,,
IND,1975,1430,,
IDN,1975,2386,,
IRN,1975,9377,,
IRQ,1975,6878,,
IRL,1975,11662,,
ISR,1975,16176,,
ITA,1975,17123,,
JAM,1975,6129,,
JPN,1975,18082,,
JOR,1975,4117,,
KEN,1975,1502,,
KWT,1975,28950,,
LAO,1975,999,,
LBN,1975,5742,,
LSO,1975,1270,,
LBR,1975,4326,,
LBY,1975,6872,,
LUX,1975,22643,,
MDG,1975,1795,,
MWI,1975,934,,
MYS,1975,4221,,
MLI,1975,982,,
MLT,1975,5738,,
MRT,1975,1699,,
MUS,1975,6030,,
MEX,1975,8011,,
MNG,1975,1387,,
MNE,1975,5512,,
MAR,1975,2919,,
MOZ,1975,2238,,
MMR,1975,1057,,
NAM,1975,6293,,
NPL,1975,1047,,
NLD,1975,21318,,
NZL,1975,19907,,
NIC,1975,5013,,
NER,1975,1050,,
NGA,1975,2051,,
MKD,1975,8064,,
NOR,1975,19560,,
OMN,1975,6802,,
PAK,1975,1559,,
PSE,1975,4085,,
PAN,1975,5649,,
PRY,1975,3464,,
PER,1975,6896,,
PHL,1975,3241,,
POL,1975,9258,,
PRT,1975,10388,,
PRI,1975,11073,,
QAT,1975,54866,,
ROU,1975,5995.4507,,
RUS,1975,11164,,
RWA,1975,1199,,
LCA,1975,2428,,
STP,1975,2469,,
SAU,1975,18788,,
SEN,1975,2225,,
SRB,1975,8498,,
SYC,1975,4506,,
SLE,1975,1551,,
SGP,1975,9602,,
SVN,1975,17205,,
ZAF,1975,6808,,
KOR,1975,4362.007,,
ESP,1975,12613.324,,
LKA,1975,2434,,
SWE,1975,22607,,
CHE,1975,24467.992,,
SYR,1975,8878,,
TWN,1975,5614,,
TZA,1975,956,,
THA,1975,3123,,
TGO,1975,1556,,
TTO,1975,14534,,
TUN,1975,3899,,
TUR,1975,5719,,
OWID_USS,1975,9779,,
UGA,1975,1243,,
ARE,1975,40591,,
GBR,1975,18884,,
USA,1975,25956,,
URY,1975,8563,,
VEN,1975,16385,,
VNM,1975,1132,,
YEM,1975,2844,,
OWID_YGS,1975,7976,,
ZMB,1975,1659,,
ZWE,1975,2235,,
AFG,1976,1105,,
ALB,1976,3665,,
DZA,1976,4157,,
AGO,1976,1521,,
ARG,1976,12696,,
AUS,1976,21613,,
AUT,1976,19448,,
BHR,1976,6875,,
BGD,1976,862,,
BRB,1976,10222,,
BEL,1976,20916,,
BEN,1976,1548,,
BOL,1976,4219,,
BIH,1976,5268,,
BWA,1976,1801,,
BRA,1976,7079,,
BGR,1976,9535,,
BFA,1976,1039,,
BDI,1976,956,,
KHM,1976,1025,,
CMR,1976,1664,,
CAN,1976,23754,,
CPV,1976,1251,,
CAF,1976,1345,,
TCD,1976,918,,
CHL,1976,6868,,
CHN,1976,1519,,
COL,1976,5918,,
COM,1976,1009,,
COG,1976,2794,,
CRI,1976,7182,,
CIV,1976,3017,,
HRV,1976,11469,,
CUB,1976,3786,,
CYP,1976,6652,,
CZE,1976,11317,,
OWID_CZS,1976,11893,,
COD,1976,1111,,
DNK,1976,23059,,
DJI,1976,4878,,
DMA,1976,2066,,
DOM,1976,3504,,
ECU,1976,5877,,
EGY,1976,2560,,
SLV,1976,4084,,
GNQ,1976,3453,,
SWZ,1976,3142,,
ETH,1976,974,,
FIN,1976,18104,,
,1976,1664,,
FRA,1976,21465,,
GAB,1976,12747,,
GMB,1976,1436,,
DEU,1976,20218,,
GHA,1976,1878,,
GRC,1976,12919,,
GTM,1976,5705,,
GIN,1976,905,,
GNB,1976,1443,,
HTI,1976,1835,,
HND,1976,2954,,
HKG,1976,12929,,
HUN,1976,9231,,
ISL,1976,19877,,
IND,1976,1417,,
IDN,1976,2536,,
IRN,1976,10665,,
IRQ,1976,8007,,
IRL,1976,11639,,
ISR,1976,16053,,
ITA,1976,18147,,
JAM,1976,5681,,
JPN,1976,18600,,
JOR,1976,4935,,
KEN,1976,1503,,
KWT,1976,28956,,
LAO,1976,1023,,
LBN,1976,2442,,
LSO,1976,1447,,
LBR,1976,4415,,
LBY,1976,8142,,
LUX,1976,23100,,
MDG,1976,1694,,
MWI,1976,942,,
MYS,1976,4638,,
MLI,1976,1090,,
MLT,1976,6684,,
MRT,1976,1779,,
MUS,1976,7264,,
MEX,1976,8131,,
MNG,1976,1401,,
MNE,1976,5740,,
MAR,1976,3175,,
MOZ,1976,2064,,
MMR,1976,1103,,
NAM,1976,6150,,
NPL,1976,1071,,
NLD,1976,22132,,
NZL,1976,20161,,
NIC,1976,5099,,
NER,1976,1033,,
NGA,1976,2208,,
MKD,1976,8319,,
NOR,1976,20610,,
OMN,1976,7328,,
PAK,1976,1604,,
PSE,1976,4605,,
PAN,1976,5604,,
PRY,1976,3629,,
PER,1976,6808,,
PHL,1976,3430,,
POL,1976,9397,,
PRT,1976,10861,,
PRI,1976,11308,,
QAT,1976,55169,,
ROU,1976,6243.1465,,
RUS,1976,11426,,
RWA,1976,1387,,
LCA,1976,2820,,
STP,1976,2432,,
SAU,1976,19297,,
SEN,1976,2370,,
SRB,1976,8877,,
SYC,1976,5149,,
SLE,1976,1511,,
SGP,1976,10178,,
SVN,1976,17462,,
ZAF,1976,6802,,
KOR,1976,4855.941,,
ESP,1976,13044.986,,
LKA,1976,2464,,
SWE,1976,22765,,
CHE,1976,24752.908,,
SYR,1976,9526,,
TWN,1976,6245,,
TZA,1976,996,,
THA,1976,3333,,
TGO,1976,1505,,
TTO,1976,15696,,
TUN,1976,4095,,
TUR,1976,6110,,
OWID_USS,1976,10143,,
UGA,1976,1219,,
ARE,1976,40803,,
GBR,1976,19311,,
USA,1976,27058,,
URY,1976,8853,,
VEN,1976,17174,,
VNM,1976,1290,,
YEM,1976,3193,,
OWID_YGS,1976,8207,,
ZMB,1976,1707,,
ZWE,1976,2163,,
AFG,1977,1022,,
ALB,1977,3681,,
DZA,1977,4398,,
AGO,1977,1500,,
ARG,1977,13236,,
AUS,1977,21592,,
AUT,1977,20350,,
BHR,1977,7084,,
BGD,1977,843,,
BRB,1977,10541,,
BEL,1977,21025,,
BEN,1977,1570,,
BOL,1977,4289,,
BIH,1977,5647,,
BWA,1977,1889,,
BRA,1977,7248,,
BGR,1977,9398,,
BFA,1977,1090,,
BDI,1977,1020,,
KHM,1977,1143,,
CMR,1977,1706,,
CAN,1977,24265,,
CPV,1977,1176,,
CAF,1977,1417,,
TCD,1977,830,,
CHL,1977,7438,,
CHN,1977,1583,,
COL,1977,6046,,
COM,1977,966,,
COG,1977,2517,,
CRI,1977,7602,,
CIV,1977,3033,,
HRV,1977,12385,,
CUB,1977,3913,,
CYP,1977,7704,,
CZE,1977,11634,,
OWID_CZS,1977,12344,,
COD,1977,1086,,
DNK,1977,23360,,
DJI,1977,4036,,
DMA,1977,2117,,
DOM,1977,3586,,
ECU,1977,6073,,
EGY,1977,2817,,
SLV,1977,4221,,
GNQ,1977,3668,,
SWZ,1977,3083,,
ETH,1977,977,,
FIN,1977,18100,,
,1977,1857,,
FRA,1977,22177,,
GAB,1977,10849,,
GMB,1977,1417,,
DEU,1977,20837,,
GHA,1977,1882,,
GRC,1977,13158,,
GTM,1977,6005,,
GIN,1977,858,,
GNB,1977,1317,,
HTI,1977,1808,,
HND,1977,3153,,
HKG,1977,13986,,
HUN,1977,9765,,
ISL,1977,21465,,
IND,1977,1494,,
IDN,1977,2670,,
IRN,1977,10205,,
IRQ,1977,7957,,
IRL,1977,12425,,
ISR,1977,15721,,
ITA,1977,18599,,
JAM,1977,5501,,
JPN,1977,19230,,
JOR,1977,5072,,
KEN,1977,1580,,
KWT,1977,26168,,
LAO,1977,993,,
LBN,1977,4417,,
LSO,1977,1658,,
LBR,1977,4339,,
LBY,1977,8682,,
LUX,1977,23417,,
MDG,1977,1691,,
MWI,1977,961,,
MYS,1977,4903,,
MLI,1977,1148,,
MLT,1977,7438,,
MRT,1977,1742,,
MUS,1977,7610,,
MEX,1977,8177,,
MNG,1977,1470,,
MNE,1977,6298,,
MAR,1977,3268,,
MOZ,1977,2013,,
MMR,1977,1148,,
NAM,1977,5984,,
NPL,1977,1081,,
NLD,1977,22598,,
NZL,1977,19110,,
NIC,1977,5247,,
NER,1977,1087,,
NGA,1977,2220,,
MKD,1977,8738,,
NOR,1977,21399,,
OMN,1977,6998,,
PAK,1977,1631,,
PSE,1977,4439,,
PAN,1977,5512,,
PRY,1977,3945,,
PER,1977,6626,,
PHL,1977,3524,,
POL,1977,9483,,
